,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
0,赵志强,2.729440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,朱旭,3.035138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,田明,2.280842,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
3,徐梅,3.285869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,陈雪,3.037908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,姚红梅,3.295441,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6,王瑞,2.578065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,康燕,3.266167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,张涛,3.536726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,黄秀荣,1.034301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,丁建平,1.391972,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
11,段红,1.044492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,张淑珍,3.322422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,王涛,1.715887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,郭秀珍,3.067136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
15,江燕,2.130080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,乐坤,3.107980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,赵荣,3.184468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,刘建国,1.855923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,蒋倩,2.881734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,焦飞,3.689326,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,刘颖,3.235698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,韦建平,0.761802,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,周秀梅,3.140241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,汪阳,3.936486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,李红霞,2.072064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,李杰,3.120241,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,蒙欢,2.364372,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,王云,2.453583,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
29,陆佳,3.730148,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
30,丁杰,3.262261,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
31,林玉兰,1.558657,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
