,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
0,张丽丽,1.341430,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,沈强,1.667111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,荣鑫,1.904837,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,龙强,1.808657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,覃建平,3.794557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
5,黄慧,1.951079,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
6,雷秀梅,2.027113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,王华,3.275185,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
8,王红,3.871273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,赵华,3.663990,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,田娟,2.202193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
11,孙龙,1.611060,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,赵秀兰,2.648400,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
13,韩桂英,2.358616,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,金凤英,3.446141,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
15,穆桂珍,1.934562,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
16,豆龙,2.210402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,莫红梅,3.342649,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
18,王建华,3.510792,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,尹红梅,3.150075,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
20,彭建国,1.883757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,张峰,3.836048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,戴婷婷,3.961769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,刘璐,1.963833,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
24,梁玉兰,3.494123,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
25,高欣,3.127815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,萧淑英,2.129257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,沈琳,2.228023,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,陈瑜,3.329009,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
29,颜杨,2.070425,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,臧金凤,3.450244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,王玉华,3.442198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,萧平,3.628344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,刘丽丽,1.349201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,姚金凤,3.699913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
35,刘利,2.852270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,张晶,2.152147,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,贺淑华,3.739138,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,程建,3.695101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,谢文,0.780817,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
