,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
0,黄淑英,1.309197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,王雪梅,2.479520,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,邹平,0.978840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,马莹,3.174538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,朱强,3.264855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,屈建,3.963132,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
6,刘桂英,3.452032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,张想,3.280676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,吴鹏,3.515864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
9,李利,2.564383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,吴东,1.439472,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
11,刘兰英,3.713667,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,杨想,3.565727,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13,张俊,2.766144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
14,韩红霞,2.060968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
15,张林,3.032098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,陆秀荣,3.623779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,陈凤英,3.102063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,黄莉,3.964122,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
19,鄢琴,3.530165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,张岩,3.456989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,阎强,2.241499,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
22,邢娟,3.460182,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
23,王兰英,2.342316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
24,李峰,3.922470,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
25,罗兰英,3.524570,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,邓淑珍,3.099783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,李畅,3.493362,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
28,杜岩,2.131658,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
29,王涛,3.131199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,赖洋,2.147669,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,胡玉英,3.446406,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
32,郜娜,2.713286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,沈勇,2.188268,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
34,麦海燕,3.382043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,王明,3.509800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,徐燕,3.177330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,李鑫,2.159206,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
38,林桂珍,1.360125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,夏娜,1.922912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
40,杨桂兰,3.308506,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
41,陈雪梅,1.618811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,胡娟,2.517202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,韩建军,2.535311,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
44,许磊,3.445326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,张成,1.630034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,陈云,2.400375,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
47,宗刚,3.838744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
48,沈鑫,2.067547,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
49,安晨,3.735216,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
50,郭淑兰,2.134775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
